,Image_path,filename,type,folder,habitat,color_control,tv_loss,layers,sex,fish_n,species,img_width,img_height,image_extension
0,/home/durrmeyer/Images/Poissons/JPEG Cropped/punctulatum/PUNC_MASS_F02.jpg,PUNC_MASS_F02.jpg,else,punctulatum,,,,,,,,6543,2213,.jpg
1,/home/durrmeyer/Images/Poissons/JPEG Cropped/punctulatum/PUNC_TUQU_M01.jpg,PUNC_TUQU_M01.jpg,else,punctulatum,,,,,,,,6352,2140,.jpg
2,/home/durrmeyer/Images/Poissons/JPEG Cropped/punctulatum/PUNC_MASS_F04.jpg,PUNC_MASS_F04.jpg,else,punctulatum,,,,,,,,6662,2078,.jpg
3,/home/durrmeyer/Images/Poissons/JPEG Cropped/punctulatum/PUNC_MASS_M03.jpg,PUNC_MASS_M03.jpg,else,punctulatum,,,,,,,,6267,2432,.jpg
4,/home/durrmeyer/Images/Poissons/JPEG Cropped/punctulatum/PUNC_MASS_M02.jpg,PUNC_MASS_M02.jpg,else,punctulatum,,,,,,,,6229,1974,.jpg
5,/home/durrmeyer/Images/Poissons/JPEG Cropped/punctulatum/PUNC_MASS_F03.jpg,PUNC_MASS_F03.jpg,else,punctulatum,,,,,,,,6667,2199,.jpg
6,/home/durrmeyer/Images/Poissons/JPEG Cropped/punctulatum/PUNC_BNCK_M01.jpg,PUNC_BNCK_M01.jpg,else,punctulatum,,,,,,,,6417,2180,.jpg
7,/home/durrmeyer/Images/Poissons/JPEG Cropped/punctulatum/PUNC_BNCK_F02.jpg,PUNC_BNCK_F02.jpg,else,punctulatum,,,,,,,,6423,2302,.jpg
8,/home/durrmeyer/Images/Poissons/JPEG Cropped/punctulatum/PUNC_MASS_M05.jpg,PUNC_MASS_M05.jpg,else,punctulatum,,,,,,,,6602,2415,.jpg
9,/home/durrmeyer/Images/Poissons/JPEG Cropped/punctulatum/PUNC_BNCK_F01.jpg,PUNC_BNCK_F01.jpg,else,punctulatum,,,,,,,,6637,2316,.jpg
10,/home/durrmeyer/Images/Poissons/JPEG Cropped/punctulatum/PUNC_MASS_M04.jpg,PUNC_MASS_M04.jpg,else,punctulatum,,,,,,,,6573,2309,.jpg
11,/home/durrmeyer/Images/Poissons/JPEG Cropped/punctulatum/PUNC_MASS_M01.jpg,PUNC_MASS_M01.jpg,else,punctulatum,,,,,,,,6535,2343,.jpg
12,/home/durrmeyer/Images/Poissons/JPEG Cropped/punctulatum/PUNC_TUQU_F01.jpg,PUNC_TUQU_F01.jpg,else,punctulatum,,,,,,,,6581,2554,.jpg
13,/home/durrmeyer/Images/Poissons/JPEG Cropped/punctulatum/PUNC_MASS_M06.jpg,PUNC_MASS_M06.jpg,else,punctulatum,,,,,,,,6713,2211,.jpg
14,/home/durrmeyer/Images/Poissons/JPEG Cropped/punctulatum/PUNC_BNCK_M02.jpg,PUNC_BNCK_M02.jpg,else,punctulatum,,,,,,,,6671,2400,.jpg
15,/home/durrmeyer/Images/Poissons/JPEG Cropped/punctulatum/PUNC_MASS_F01.jpg,PUNC_MASS_F01.jpg,else,punctulatum,,,,,,,,6200,2257,.jpg
16,/home/durrmeyer/Images/Poissons/JPEG Cropped/zonistium/ZONI_SDCK_F07.jpg,ZONI_SDCK_F07.jpg,else,zonistium,,,,,,,,6451,2461,.jpg
17,/home/durrmeyer/Images/Poissons/JPEG Cropped/zonistium/ZONI_SDCK_F04.jpg,ZONI_SDCK_F04.jpg,else,zonistium,,,,,,,,6545,2527,.jpg
18,/home/durrmeyer/Images/Poissons/JPEG Cropped/zonistium/ZONI_SDCK_F05.jpg,ZONI_SDCK_F05.jpg,else,zonistium,,,,,,,,6413,2246,.jpg
19,/home/durrmeyer/Images/Poissons/JPEG Cropped/zonistium/ZONI_SDCK_F08.jpg,ZONI_SDCK_F08.jpg,else,zonistium,,,,,,,,6347,2348,.jpg
20,/home/durrmeyer/Images/Poissons/JPEG Cropped/zonistium/ZONI_SDCK_F11.jpg,ZONI_SDCK_F11.jpg,else,zonistium,,,,,,,,6355,2336,.jpg
21,/home/durrmeyer/Images/Poissons/JPEG Cropped/zonistium/ZONI_SDCK_M01.jpg,ZONI_SDCK_M01.jpg,else,zonistium,,,,,,,,6555,2239,.jpg
22,/home/durrmeyer/Images/Poissons/JPEG Cropped/zonistium/ZONI_SDCK_M04.jpg,ZONI_SDCK_M04.jpg,else,zonistium,,,,,,,,6633,2442,.jpg
