image_list,Image_path,filename,type,folder,habitat,color_control,tv_loss,layers,sex,fish_n,species,img_width,img_height,image_extension
0,/home/durrmeyer/Images/StyleTransferImages/HABITAT_images/PLANTS_cropped_3000x1000_middle_tt_resized_div1_5_52A5711defWB.jpg,PLANTS_cropped_3000x1000_middle_tt_resized_div1_5_52A5711defWB.jpg,habitat,HABITAT_images,PLANTS,,,,,,,3000,1000,.jpg
1,/home/durrmeyer/Images/StyleTransferImages/HABITAT_images/DETRITUS_cropped_3000x1000_middle_tt_resized_div1_5_52A7724defWB.jpg,DETRITUS_cropped_3000x1000_middle_tt_resized_div1_5_52A7724defWB.jpg,habitat,HABITAT_images,DETRITUS,,,,,,,3000,1000,.jpg
2,/home/durrmeyer/Images/StyleTransferImages/HABITAT_images/SAND_Eolmstedi_cropped_3000x1000_middle_tt_resized_div1_5_52A6208defWB.jpg,SAND_Eolmstedi_cropped_3000x1000_middle_tt_resized_div1_5_52A6208defWB.jpg,habitat,HABITAT_images,SAND,,,,,,,3000,1000,.jpg
3,/home/durrmeyer/Images/StyleTransferImages/HABITAT_images/GRAVEL_cropped_3000x1000_middle_tt_resized_div1_5_52A5680defWB.jpg,GRAVEL_cropped_3000x1000_middle_tt_resized_div1_5_52A5680defWB.jpg,habitat,HABITAT_images,GRAVEL,,,,,,,3000,1000,.jpg
4,/home/durrmeyer/Images/StyleTransferImages/HABITAT_images/BOULDERxSAND_Eolmstedi_cropped_3000x1000_middle_tt_resized_div1_5_52A6174defWB.jpg,BOULDERxSAND_Eolmstedi_cropped_3000x1000_middle_tt_resized_div1_5_52A6174defWB.jpg,habitat,HABITAT_images,BOULDERxSAND,,,,,,,3000,1000,.jpg
5,/home/durrmeyer/Images/StyleTransferImages/HABITAT_images/GRAVELxFLOOR_cropped_3000x1000_middle_tt_resized_div1_5_52A5809defWB.jpg,GRAVELxFLOOR_cropped_3000x1000_middle_tt_resized_div1_5_52A5809defWB.jpg,habitat,HABITAT_images,GRAVELxFLOOR,,,,,,,3000,1000,.jpg
6,/home/durrmeyer/Images/StyleTransferImages/HABITAT_images/BOULDER_cropped_3000x1000_middle_tt_resized_div1_5_52A5691defWB.jpg,BOULDER_cropped_3000x1000_middle_tt_resized_div1_5_52A5691defWB.jpg,habitat,HABITAT_images,BOULDER,,,,,,,3000,1000,.jpg
7,/home/durrmeyer/Images/StyleTransferImages/HABITAT_images/GRAVELxALGAE_cropped_3000x1000_middle_tt_resized_div1_5_52A5807defWB.jpg,GRAVELxALGAE_cropped_3000x1000_middle_tt_resized_div1_5_52A5807defWB.jpg,habitat,HABITAT_images,GRAVELxALGAE,,,,,,,3000,1000,.jpg
8,/home/durrmeyer/Images/StyleTransferImages/All_layers/BOULDERxFISH03_colorcontrolOFF_1vs1e3_TVlossON_1e-3.png,BOULDERxFISH03_colorcontrolOFF_1vs1e3_TVlossON_1e-3.png,fish stylized,All_layers,BOULDER,OFF,ON,All_layers,,03,,512,170,.png
9,/home/durrmeyer/Images/StyleTransferImages/All_layers/BOULDERxSANDxFISH02_colorcontrolON_1vs1e3_TVlossON_1e-3.png,BOULDERxSANDxFISH02_colorcontrolON_1vs1e3_TVlossON_1e-3.png,fish stylized,All_layers,BOULDERxSAND,ON,ON,All_layers,,02,,512,170,.png
10,/home/durrmeyer/Images/StyleTransferImages/All_layers/GRAVELxFISH10_colorcontrolON_1vs1e3_TVlossON_1e-3.png,GRAVELxFISH10_colorcontrolON_1vs1e3_TVlossON_1e-3.png,fish stylized,All_layers,GRAVEL,ON,ON,All_layers,,10,,512,170,.png
11,/home/durrmeyer/Images/StyleTransferImages/All_layers/BOULDERxFISH02_colorcontrolON_1vs1e3_TVlossON_1e-3.png,BOULDERxFISH02_colorcontrolON_1vs1e3_TVlossON_1e-3.png,fish stylized,All_layers,BOULDER,ON,ON,All_layers,,02,,512,170,.png
12,/home/durrmeyer/Images/StyleTransferImages/All_layers/GRAVELxFISH03_colorcontrolON_1vs1e3_TVlossON_1e-3.png,GRAVELxFISH03_colorcontrolON_1vs1e3_TVlossON_1e-3.png,fish stylized,All_layers,GRAVEL,ON,ON,All_layers,,03,,512,170,.png
13,/home/durrmeyer/Images/StyleTransferImages/All_layers/BOULDERxFISH04_colorcontrolON_1vs1e3_TVlossON_1e-3.png,BOULDERxFISH04_colorcontrolON_1vs1e3_TVlossON_1e-3.png,fish stylized,All_layers,BOULDER,ON,ON,All_layers,,04,,512,170,.png
14,/home/durrmeyer/Images/StyleTransferImages/All_layers/PLANTSxFISH02_colorcontrolOFF_1vs1e3_TVlossON_1e-3.png,PLANTSxFISH02_colorcontrolOFF_1vs1e3_TVlossON_1e-3.png,fish stylized,All_layers,PLANTS,OFF,ON,All_layers,,02,,512,170,.png
15,/home/durrmeyer/Images/StyleTransferImages/All_layers/PLANTSxFISH01_colorcontrolON_1vs1e3_TVlossON_1e-3.png,PLANTSxFISH01_colorcontrolON_1vs1e3_TVlossON_1e-3.png,fish stylized,All_layers,PLANTS,ON,ON,All_layers,,01,,512,170,.png
16,/home/durrmeyer/Images/StyleTransferImages/All_layers/GRAVELxFISH10_colorcontrolOFF_1vs1e3_TVlossON_1e-3.png,GRAVELxFISH10_colorcontrolOFF_1vs1e3_TVlossON_1e-3.png,fish stylized,All_layers,GRAVEL,OFF,ON,All_layers,,10,,512,170,.png
17,/home/durrmeyer/Images/StyleTransferImages/All_layers/DETRITUSxFISH02_colorcontrolON_1vs1e3_TVlossON_1e-3.png,DETRITUSxFISH02_colorcontrolON_1vs1e3_TVlossON_1e-3.png,fish stylized,All_layers,DETRITUS,ON,ON,All_layers,,02,,512,170,.png
18,/home/durrmeyer/Images/StyleTransferImages/All_layers/GRAVELxFISH01_colorcontrolOFF_1vs1e3_TVlossON_1e-3.png,GRAVELxFISH01_colorcontrolOFF_1vs1e3_TVlossON_1e-3.png,fish stylized,All_layers,GRAVEL,OFF,ON,All_layers,,01,,512,170,.png
19,/home/durrmeyer/Images/StyleTransferImages/All_layers/BOULDERxFISH10_colorcontrolOFF_1vs1e3_TVlossON_1e-3.png,BOULDERxFISH10_colorcontrolOFF_1vs1e3_TVlossON_1e-3.png,fish stylized,All_layers,BOULDER,OFF,ON,All_layers,,10,,512,170,.png
20,/home/durrmeyer/Images/StyleTransferImages/All_layers/PLANTSxFISH04_colorcontrolOFF_1vs1e3_TVlossON_1e-3.png,PLANTSxFISH04_colorcontrolOFF_1vs1e3_TVlossON_1e-3.png,fish stylized,All_layers,PLANTS,OFF,ON,All_layers,,04,,512,170,.png
21,/home/durrmeyer/Images/StyleTransferImages/All_layers/BOULDERxFISH01_colorcontrolOFF_1vs1e3_TVlossON_1e-3.png,BOULDERxFISH01_colorcontrolOFF_1vs1e3_TVlossON_1e-3.png,fish stylized,All_layers,BOULDER,OFF,ON,All_layers,,01,,512,170,.png
22,/home/durrmeyer/Images/StyleTransferImages/All_layers/BOULDERxFISH02_colorcontrolOFF_1vs1e3_TVlossON_1e-3.png,BOULDERxFISH02_colorcontrolOFF_1vs1e3_TVlossON_1e-3.png,fish stylized,All_layers,BOULDER,OFF,ON,All_layers,,02,,512,170,.png
23,/home/durrmeyer/Images/StyleTransferImages/All_layers/PLANTSxFISH01_colorcontrolOFF_1vs1e3_TVlossON_1e-3.png,PLANTSxFISH01_colorcontrolOFF_1vs1e3_TVlossON_1e-3.png,fish stylized,All_layers,PLANTS,OFF,ON,All_layers,,01,,512,170,.png
24,/home/durrmeyer/Images/StyleTransferImages/All_layers/BOULDERxSANDxFISH10_colorcontrolON_1vs1e3_TVlossON_1e-3.png,BOULDERxSANDxFISH10_colorcontrolON_1vs1e3_TVlossON_1e-3.png,fish stylized,All_layers,BOULDERxSAND,ON,ON,All_layers,,10,,512,170,.png
25,/home/durrmeyer/Images/StyleTransferImages/All_layers/BOULDERxSANDxFISH10_colorcontrolOFF_1vs1e3_TVlossON_1e-3.png,BOULDERxSANDxFISH10_colorcontrolOFF_1vs1e3_TVlossON_1e-3.png,fish stylized,All_layers,BOULDERxSAND,OFF,ON,All_layers,,10,,512,170,.png
26,/home/durrmeyer/Images/StyleTransferImages/All_layers/BOULDERxSANDxFISH03_colorcontrolON_1vs1e3_TVlossON_1e-3.png,BOULDERxSANDxFISH03_colorcontrolON_1vs1e3_TVlossON_1e-3.png,fish stylized,All_layers,BOULDERxSAND,ON,ON,All_layers,,03,,512,170,.png
27,/home/durrmeyer/Images/StyleTransferImages/All_layers/SANDxFISH04_colorcontrolOFF_1vs1e3_TVlossON_1e-3.png,SANDxFISH04_colorcontrolOFF_1vs1e3_TVlossON_1e-3.png,fish stylized,All_layers,SAND,OFF,ON,All_layers,,04,,512,170,.png
28,/home/durrmeyer/Images/StyleTransferImages/All_layers/SANDxFISH01_colorcontrolON_1vs1e3_TVlossON_1e-3.png,SANDxFISH01_colorcontrolON_1vs1e3_TVlossON_1e-3.png,fish stylized,All_layers,SAND,ON,ON,All_layers,,01,,512,170,.png
29,/home/durrmeyer/Images/StyleTransferImages/All_layers/BOULDERxSANDxFISH01_colorcontrolON_1vs1e3_TVlossON_1e-3.png,BOULDERxSANDxFISH01_colorcontrolON_1vs1e3_TVlossON_1e-3.png,fish stylized,All_layers,BOULDERxSAND,ON,ON,All_layers,,01,,512,170,.png
30,/home/durrmeyer/Images/StyleTransferImages/All_layers/PLANTSxFISH02_colorcontrolON_1vs1e3_TVlossON_1e-3.png,PLANTSxFISH02_colorcontrolON_1vs1e3_TVlossON_1e-3.png,fish stylized,All_layers,PLANTS,ON,ON,All_layers,,02,,512,170,.png
31,/home/durrmeyer/Images/StyleTransferImages/All_layers/GRAVELxFISH04_colorcontrolON_1vs1e3_TVlossON_1e-3.png,GRAVELxFISH04_colorcontrolON_1vs1e3_TVlossON_1e-3.png,fish stylized,All_layers,GRAVEL,ON,ON,All_layers,,04,,512,170,.png
32,/home/durrmeyer/Images/StyleTransferImages/All_layers/BOULDERxSANDxFISH01_colorcontrolOFF_1vs1e3_TVlossON_1e-3.png,BOULDERxSANDxFISH01_colorcontrolOFF_1vs1e3_TVlossON_1e-3.png,fish stylized,All_layers,BOULDERxSAND,OFF,ON,All_layers,,01,,512,170,.png
33,/home/durrmeyer/Images/StyleTransferImages/All_layers/PLANTSxFISH03_colorcontrolON_1vs1e3_TVlossON_1e-3.png,PLANTSxFISH03_colorcontrolON_1vs1e3_TVlossON_1e-3.png,fish stylized,All_layers,PLANTS,ON,ON,All_layers,,03,,512,170,.png
34,/home/durrmeyer/Images/StyleTransferImages/All_layers/PLANTSxFISH10_colorcontrolOFF_1vs1e3_TVlossON_1e-3.png,PLANTSxFISH10_colorcontrolOFF_1vs1e3_TVlossON_1e-3.png,fish stylized,All_layers,PLANTS,OFF,ON,All_layers,,10,,512,170,.png
