normalization,standardization,image_type,channel_image,image_resize_x,image_resize_y,Image_path,color_ratio
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_3to5\SANDxFISH10_colorcontrolON_1vs1e3_TVlossON_1e-3_layers3to5.png,0.6985859480508554
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_3to5\SANDxFISH10_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers3to5.png,0.6810845150910467
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_3to5\SANDxFISH04_colorcontrolON_1vs1e3_TVlossON_1e-3_layers3to5.png,0.7607806431283063
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_3to5\SANDxFISH04_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers3to5.png,0.8016206346684567
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_3to5\SANDxFISH03_colorcontrolON_1vs1e3_TVlossON_1e-3_layers3to5.png,0.5890534232765887
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_3to5\SANDxFISH03_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers3to5.png,0.6825593174652612
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_3to5\SANDxFISH02_colorcontrolON_1vs1e3_TVlossON_1e-3_layers3to5.png,0.48929244339375505
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_3to5\SANDxFISH02_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers3to5.png,0.6140230196852605
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_3to5\SANDxFISH01_colorcontrolON_1vs1e3_TVlossON_1e-3_layers3to5.png,0.5502928911649209
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_3to5\SANDxFISH01_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers3to5.png,0.5483685326463783
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_3to5\PLANTSxFISH10_colorcontrolON_1vs1e3_TVlossON_1e-3_layers3to5.png,0.7391937197499862
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_3to5\PLANTSxFISH10_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers3to5.png,0.7525086845958207
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_3to5\PLANTSxFISH04_colorcontrolON_1vs1e3_TVlossON_1e-3_layers3to5.png,0.781995709455626
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_3to5\PLANTSxFISH04_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers3to5.png,0.7931754130007159
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_3to5\PLANTSxFISH03_colorcontrolON_1vs1e3_TVlossON_1e-3_layers3to5.png,0.6363950878133882
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_3to5\PLANTSxFISH03_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers3to5.png,0.6713994623421485
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_3to5\PLANTSxFISH02_colorcontrolON_1vs1e3_TVlossON_1e-3_layers3to5.png,0.5305196319371787
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_3to5\PLANTSxFISH02_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers3to5.png,0.6211411902986357
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_3to5\PLANTSxFISH01_colorcontrolON_1vs1e3_TVlossON_1e-3_layers3to5.png,0.6291044199634863
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_3to5\PLANTSxFISH01_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers3to5.png,0.6661661751068275
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_3to5\GRAVELxFISH10_colorcontrolON_1vs1e3_TVlossON_1e-3_layers3to5.png,0.7473690128609399
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_3to5\GRAVELxFISH10_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers3to5.png,0.771522769540113
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_3to5\GRAVELxFISH04_colorcontrolON_1vs1e3_TVlossON_1e-3_layers3to5.png,0.8057637205703971
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_3to5\GRAVELxFISH04_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers3to5.png,0.8247534841940853
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_3to5\GRAVELxFISH03_colorcontrolON_1vs1e3_TVlossON_1e-3_layers3to5.png,0.7091274259415051
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_3to5\GRAVELxFISH03_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers3to5.png,0.7685927220008928
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_3to5\GRAVELxFISH02_colorcontrolON_1vs1e3_TVlossON_1e-3_layers3to5.png,0.6195857877255863
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_3to5\GRAVELxFISH02_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers3to5.png,0.7359172782915776
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_3to5\GRAVELxFISH01_colorcontrolON_1vs1e3_TVlossON_1e-3_layers3to5.png,0.6602834548642351
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_3to5\GRAVELxFISH01_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers3to5.png,0.6949137872509646
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_3to5\DETRITUSxFISH10_colorcontrolON_1vs1e3_TVlossON_1e-3_layers3to5.png,0.8113107162546912
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_3to5\DETRITUSxFISH10_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers3to5.png,0.7106432674155486
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_3to5\DETRITUSxFISH04_colorcontrolON_1vs1e3_TVlossON_1e-3_layers3to5.png,0.8178066275521434
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_3to5\DETRITUSxFISH04_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers3to5.png,0.7244670092369746
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_3to5\DETRITUSxFISH03_colorcontrolON_1vs1e3_TVlossON_1e-3_layers3to5.png,0.7068252117763038
