,Image_path,filename,type,folder,habitat,color_control,tv_loss,layers,sex,fish_n,species,img_width,img_height,image_extension
/home/durrmeyer/Images/Crops/zonale/ZONA_MFKR_M02.tif,/home/durrmeyer/Images/Crops/zonale/ZONA_MFKR_M02.tif,ZONA_MFKR_M02.tif,original fish,zonale,,,,,M,02,zonale,508,317,.tif
/home/durrmeyer/Images/Crops/zonale/ZONA_MFKR_F08.tif,/home/durrmeyer/Images/Crops/zonale/ZONA_MFKR_F08.tif,ZONA_MFKR_F08.tif,original fish,zonale,,,,,F,08,zonale,489,299,.tif
/home/durrmeyer/Images/Crops/zonale/ZONA_MFKR_M06.tif,/home/durrmeyer/Images/Crops/zonale/ZONA_MFKR_M06.tif,ZONA_MFKR_M06.tif,original fish,zonale,,,,,M,06,zonale,498,319,.tif
/home/durrmeyer/Images/Crops/zonale/ZONA_FRCT_M12.tif,/home/durrmeyer/Images/Crops/zonale/ZONA_FRCT_M12.tif,ZONA_FRCT_M12.tif,original fish,zonale,,,,,M,12,zonale,493,287,.tif
/home/durrmeyer/Images/Crops/zonale/ZONA_FRCT_F06.tif,/home/durrmeyer/Images/Crops/zonale/ZONA_FRCT_F06.tif,ZONA_FRCT_F06.tif,original fish,zonale,,,,,F,06,zonale,508,290,.tif
/home/durrmeyer/Images/Crops/zonale/ZONA_MFKR_M04.tif,/home/durrmeyer/Images/Crops/zonale/ZONA_MFKR_M04.tif,ZONA_MFKR_M04.tif,original fish,zonale,,,,,M,04,zonale,452,288,.tif
/home/durrmeyer/Images/Crops/zonale/ZONA_MFKR_M08.tif,/home/durrmeyer/Images/Crops/zonale/ZONA_MFKR_M08.tif,ZONA_MFKR_M08.tif,original fish,zonale,,,,,M,08,zonale,528,300,.tif
/home/durrmeyer/Images/Crops/zonale/ZONA_MFKR_M05.tif,/home/durrmeyer/Images/Crops/zonale/ZONA_MFKR_M05.tif,ZONA_MFKR_M05.tif,original fish,zonale,,,,,M,05,zonale,485,304,.tif
/home/durrmeyer/Images/Crops/zonale/ZONA_MFKR_F09.tif,/home/durrmeyer/Images/Crops/zonale/ZONA_MFKR_F09.tif,ZONA_MFKR_F09.tif,original fish,zonale,,,,,F,09,zonale,495,301,.tif
/home/durrmeyer/Images/Crops/zonale/ZONA_MFKR_F11.tif,/home/durrmeyer/Images/Crops/zonale/ZONA_MFKR_F11.tif,ZONA_MFKR_F11.tif,original fish,zonale,,,,,F,11,zonale,464,292,.tif
