species,animal,habitat,sex,slope,site
barrenense,Etheostoma_barrenense_A,bedrock,M,-3.0004142547455697,BARR
barrenense,Etheostoma_barrenense_A,bedrock,M,-2.999978630333605,BARR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.4236823128993947,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.1991213096524813,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.3169655101339095,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.500663174343542,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.349251084959448,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.4540345293248316,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.3410401324646015,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.1933093207935954,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.5463050966914142,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.5859636780502964,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.707894873195657,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.717409381624085,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.581547552585691,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.734910750167375,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.027847271571163,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.165187742756401,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.2249749793744398,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.523554695356421,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.4875322313387596,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.296104458184844,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.1278063259539937,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.382216080918508,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.126997576067512,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.1665384720241807,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.4599715592833906,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.2640069527647726,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.6548542461304057,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.522405822908055,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.4444303788332755,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.3530679728043835,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.2462181688864074,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.020591743321379,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.521077691984239,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.5296274123957216,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.328091831207609,EFBR
